##analysisDate=2021-10-26-11-55-02-000																																																																				
##analyzedBy=Romero García,Raquel																																																																				
##exportDate=2021-10-27-07-54-14-496																																																																				
##analysisName=Caso5																																																																				
##workflowName=Oncomine Focus - 520 - w3.1 - DNA and Fusions - Single Sample																																																																				
##analysisDate=2021-10-26-11-55-02-000																																																																				
##reference=hg19																																																																				
##variantGroup=DEFAULT																																																																				
##filterChain=asistencial_OFA_DNA_CNVs																																																																				
##searchText=																																																																				
##chromosome=All																																																																				
##totalVariantCount=1726																																																																				
##filterInCount=47																																																																				
##filteredOutCount=1679																																																																				
##hiddenVariantCount=0																																																																				
Locus	Genotype	Filter	Ref	Observed Allele	Type	Subtype	No Call Reason	CNV P-Value	Genes	Location	Length	Oncomine Variant Class	Oncomine Gene Class	Copy Number	CytoBand	Info	Variant ID	Variant Name	Allele Frequency %	Amino Acid Change	Read Counts	Coverage	Allele Ratio	CNV Confidence	Genes (Exons)	Detection	3'/5' Imbalance	Ratio To Wild Type	Norm Count Within Gene	COSMIC/NCBI	Read Counts Per Million	Strand	Exon	Transcript	Coding	Variant Effect	PhyloP	SIFT	Grantham	PolyPhen	PFAM	dbSNP	DGV	MAF	EMAF	AMAF	GMAF	UCSC Common SNPs	ExAC LAF	ExAC EAAF	ExAC OAF	ExAC EFAF	ExAC SAAF	ExAC ENFAF	ExAC AAF	ExAC GAF	Gene Ontology	DrugBank	ClinVar	P-Value	Phred QUAL Score	Raw Coverage	Allele Coverage	CNV Precision	Ref+/Ref-/Var+/Var-	Homopolymer Length	Tiles	Subset of
chr1:11174373		PASS		<CNV>	CNV			0,2052	MTOR		42938			1,61	1p36.22(11174373-11217311)x1.61111		MTOR							5%:1.2, 95%:2.14	MTOR	Present																																			100						7	
chr1:65310460		PASS		<CNV>	CNV			0,5603	JAK1		1947			1,72	1p31.3(65310460-65312407)x1.72222		JAK1							5%:1.1, 95%:2.64	JAK1	Present																																			100						3	
chr1:115252191		PASS		<CNV>	CNV			0,1888	NRAS		6583			1,41	1p13.2(115252191-115258774)x1.41111		NRAS							5%:0.89, 95%:2.18	NRAS	Present																																			100						3	
chr1:162724506		PASS		<CNV>	CNV			0,1963	DDR2		125			1,09	1q23.3(162724506-162724631)x1.08889		DDR2							5%:0.45, 95%:2.33	DDR2	Present																																			100						1	
chr2:16080663		PASS		<CNV>	CNV			0,2292	MYCN		5970			2,37	2p24.3(16080663-16086633)x2.36667	HS	MYCN							5%:1.87, 95%:2.97	MYCN	Present																	dgv1102e212,nsv4519745																		100						10	
chr2:29416076		PASS		<CNV>	CNV			0,8943	ALK		81954			1,97	2p23.2(29416076-29498030)x1.96667	HS	ALK							5%:1.55, 95%:2.48	ALK	Present																	dgv1107e212,esv2719856,esv2759035,esv3374239,esv3447793,esv34904,esv3575211,esv3583699,esv3657505,esv9363,nsv1008490,nsv1110737,nsv1138762,nsv3366334,nsv3374765,nsv4052639,nsv4058122,nsv4066767,nsv4335876,nsv438237,nsv4519730,nsv455997,nsv4571371,nsv581254																		100						10	
chr2:209113104		PASS		<CNV>	CNV			0,4735	IDH1		102			1,44	2q34(209113104-209113206)x1.44444		IDH1							5%:0.63, 95%:3.03	IDH1	Present																																			100						1	
chr2:212488708		PASS		<CNV>	CNV			0,6769	ERBB4		92			1,66	2q34(212488708-212488800)x1.65556		ERBB4							5%:0.74, 95%:3.44	ERBB4	Present																																			100						1	
chr3:12632342		PASS		<CNV>	CNV			0,3352	RAF1		13392			1,47	3p25.2(12632342-12645734)x1.46667		RAF1							5%:0.83, 95%:2.48	RAF1	Present																																			100						2	
chr3:41266030		PASS		<CNV>	CNV			0,7873	CTNNB1		117			2,26	3p22.1(41266030-41266147)x2.25556		CTNNB1							5%:1.05, 95%:4.61	CTNNB1	Present																																			100						1	
chr3:178916683		PASS		<CNV>	CNV			0,005859	PIK3CA		35414			1,33	3q26.32(178916683-178952097)x1.33333	HS	PIK3CA							5%:1.04, 95%:1.7	PIK3CA	Present																	dgv4999n100,dgv842n67,esv1007496,esv3665497,esv3665498,esv3674866,esv3893827,nsv1005062,nsv1161007,nsv4093573,nsv4323046,nsv4544988,nsv819800,nsv979905																		100						10	
chr3:182672772		PASS		<CNV>	CNV			0,1322	DCUN1D1		24241			1,47	3q26.33(182672772-182697013)x1.46667		DCUN1D1							5%:1.03, 95%:2.05	DCUN1D1	Present																																			100						5	
chr4:1797211		PASS		<CNV>	CNV			0,4128	FGFR3		12352			2,24	4p16.3(1797211-1809563)x2.24444	HS	FGFR3							5%:1.78, 95%:2.82	FGFR3	Present																	dgv8901n54,dgv8902n54,esv2759218,nsv428434,nsv508989,nsv593339,nsv829836,nsv949756																		100						10	
chr4:55097715		PASS		<CNV>	CNV			0,5181	PDGFRA		64233			2,19	4q12(55097715-55161948)x2.18889	HS	PDGFRA							5%:1.73, 95%:2.76	PDGFRA	Present																	dgv5209n100,esv2763361,esv3569425,esv3569426,esv3666125,nsv1002905,nsv1008497,nsv1123794,nsv3379447,nsv3391377,nsv4106788,nsv4475462,nsv4476540,nsv4520844																		100						10	
chr4:55529117		PASS		<CNV>	CNV			0,5889	KIT		70245			1,86	4q12(55529117-55599362)x1.85556	HS	KIT							5%:1.46, 95%:2.34	KIT	Present																	dgv144n6,dgv5211n100,esv2727617,esv2727619,esv275029,esv275209,esv2763362,esv3569427,esv3671335,esv3674973,nsv1003338,nsv1009516,nsv1136855,nsv3390342,nsv4092999,nsv4099980,nsv4101217,nsv4101812,nsv4102726,nsv4106961,nsv4107786,nsv4476545,nsv4557605,nsv526344,nsv997430,nsv997954																		100						10	
chr5:112043351		PASS		<CNV>	CNV			1	APC		132229			2	5q22.2(112043351-112175580)x2		APC							5%:1.43, 95%:2.77	APC	Present																																			100						5	
chr5:176517312		PASS		<CNV>	CNV			0,368	FGFR4		7075			2,27	5q35.2(176517312-176524387)x2.26667	HS	FGFR4							5%:1.79, 95%:2.85	FGFR4	Present																	dgv363n21,esv3654432,nsv3379187,nsv3389355,nsv3392511,nsv3397531,nsv3397763,nsv3398827,nsv4114151,nsv482093,nsv509101,nsv521574,nsv823351																		100						10	
chr6:117638333		PASS		<CNV>	CNV			0,3175	ROS1		2814			1,44	6q22.1(117638333-117641147)x1.44444		ROS1							5%:0.82, 95%:2.45	ROS1	Present																																			100						2	
chr6:152419910		PASS		<CNV>	CNV			0,3698	ESR1		119			1,32	6q25.1(152419910-152420029)x1.32222		ESR1							5%:0.57, 95%:2.79	ESR1	Present																																			100						1	
